date,category,item_name,units_sold,cost_price,selling_price,inventory_level,marketing_spend
2024-01-01,Tops,Silk Blouse,12,25.0,65.0,50,100.0
2024-01-01,Bottoms,High Waist Jeans,8,30.0,85.0,30,50.0
2024-01-01,Dresses,Floral Maxi,5,45.0,120.0,15,200.0
2024-01-02,Tops,Silk Blouse,15,25.0,65.0,35,100.0
2024-01-02,Bottoms,High Waist Jeans,12,30.0,85.0,18,50.0
2024-01-02,Dresses,Floral Maxi,8,45.0,120.0,7,200.0
2024-01-03,Tops,Silk Blouse,20,25.0,65.0,15,100.0
2024-01-03,Bottoms,High Waist Jeans,10,30.0,85.0,8,50.0
2024-01-03,Dresses,Floral Maxi,2,45.0,120.0,5,200.0
2024-01-04,Tops,Silk Blouse,10,25.0,65.0,5,100.0
2024-01-04,Bottoms,High Waist Jeans,5,30.0,85.0,3,50.0
2024-01-04,Dresses,Floral Maxi,1,45.0,120.0,4,200.0
2024-01-05,Tops,Basic Tee,50,5.0,20.0,100,20.0
2024-01-05,Accessories,Leather Belt,5,15.0,45.0,20,10.0
